length,url_count,exclamation_count,dollar_count,uppercase_ratio,label
1254,0,0,0,0.046215139442231074,0
820,0,0,0,0.058465286236297195,0
6361,0,0,0,0.03175102169129205,0
404,0,0,0,0.06666666666666667,0
1655,0,0,0,0.05374396135265701,0
366,0,2,0,0.04904632152588556,0
599,0,0,0,0.04666666666666667,0
1793,0,0,0,0.021739130434782608,0
2494,0,0,0,0.01963927855711423,0
1596,0,0,0,0.020663744520976832,0
1542,0,0,0,0.03499675955930007,0
2074,0,0,0,0.02072289156626506,0
1247,0,0,0,0.052884615384615384,0
1020,0,0,0,0.025465230166503428,0
1314,0,0,0,0.022053231939163497,0
525,0,0,0,0.04182509505703422,0
752,0,0,0,0.041168658698539175,0
428,0,0,0,0.05128205128205128,0
1094,0,0,0,0.04018264840182648,0
567,0,0,0,0.09154929577464789,0
410,0,0,0,0.0413625304136253,0
2415,0,0,0,0.03269867549668874,0
2537,0,0,0,0.031126871552403467,0
3113,0,1,0,0.046885035324341684,0
84325,0,0,6,0.01976851742048716,0
834,0,0,0,0.06467065868263473,0
1098,0,0,0,0.052775250227479524,0
356,0,0,0,0.09803921568627451,0
1292,0,0,0,0.03634957463263728,0
103,0,0,0,0.09615384615384616,0
283,0,0,0,0.045774647887323945,0
88009,0,0,6,0.019156913987046928,0
3532,0,0,0,0.032550240588734784,0
2422,0,0,1,0.04085843995047462,0
369,0,0,0,0.08648648648648649,0
1337,0,0,0,0.030642750373692077,0
681,0,0,0,0.060117302052785926,0
1016,0,0,0,0.024582104228121928,0
365,0,0,0,0.08196721311475409,0
742,0,0,0,0.08748317631224764,0
1862,0,0,0,0.031132581857219538,0
726,0,1,0,0.06602475928473177,0
2525,0,1,0,0.06848772763262075,0
350,0,0,0,0.039886039886039885,0
